"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"c1.b32","c1.b3",0.751626212563697,80.74,55,"pink","Fall",".C10","5","null","H5.sim.null"
"c1.d22","c1.d2",0.753959564201252,79.99,54,"pink","Fall",".C10","5","null","H5.sim.null"
"c1.d32","c1.d3",0.770417319518226,79.24,53,"pink","Fall",".C10","5","null","H5.sim.null"
"b1.d32","b1.d3",0.770900944859152,78.46,52,"pink","Fall",".C10","5","null","H5.sim.null"
"d4.g12","d4.g1",0.787039778886858,77.69,51,"red","Fall",".C10","5","null","H5.sim.null"
"f2.f22","f2.f2",0.798244123180715,76.91,50,"green","Fall",".C10","5","null","H5.sim.null"
"c1.d12","c1.d1",0.799056299420831,76.11,49,"pink","Fall",".C10","5","null","H5.sim.null"
"b3.e32","b3.e3",0.80568882262764,75.31,48,"green","Fall",".C10","5","null","H5.sim.null"
"g1.d41","g1.d4",0.808254084153339,74.5,47,"red","Fall",".C10","5","null","H5.sim.null"
"b1.e12","b1.e1",0.813925140779152,73.7,46,"green","Fall",".C10","5","null","H5.sim.null"
"e3.e32","e3.e3",0.840912462083127,72.88,45,"green","Fall",".C10","5","null","H5.sim.null"
"c1.f22","c1.f2",0.876166381604237,72.04,44,"pink","Fall",".C10","5","null","H5.sim.null"
"g3.d41","g3.d4",0.897398231118331,71.16,43,"red","Fall",".C10","5","null","H5.sim.null"
"e2.e22","e2.e2",0.926499853661454,70.27,42,"green","Fall",".C10","5","null","H5.sim.null"
"b2.b22","b2.b2",0.937811073951244,69.34,41,"pink","Fall",".C10","5","null","H5.sim.null"
"c3.b12","c3.b1",0.966293699604731,68.4,40,"pink","Fall",".C10","5","null","H5.sim.null"
"d4.g32","d4.g3",0.979288251500011,67.44,39,"red","Fall",".C10","5","null","H5.sim.null"
"e2.f22","e2.f2",0.98242920550043,66.46,38,"green","Fall",".C10","5","null","H5.sim.null"
"d2.c32","d2.c3",0.996547798271045,65.47,37,"red","Fall",".C10","5","null","H5.sim.null"
"c1.b22","c1.b2",1.00178570431807,64.48,36,"pink","Fall",".C10","5","null","H5.sim.null"
"b2.b12","b2.b1",1.00199726087822,63.48,35,"pink","Fall",".C10","5","null","H5.sim.null"
"c3.b22","c3.b2",1.00260301435248,62.47,34,"pink","Fall",".C10","5","null","H5.sim.null"
"c3.f32","c3.f3",1.02001457537618,61.47,33,"pink","Fall",".C10","5","null","H5.sim.null"
"d3.f32","d3.f3",1.02304242991729,60.45,32,"red","Fall",".C10","5","null","H5.sim.null"
"c3.d22","c3.d2",1.03853833173061,59.43,31,"pink","Fall",".C10","5","null","H5.sim.null"
"d1.f12","d1.f1",1.03901965902481,58.39,30,"red","Fall",".C10","5","null","H5.sim.null"
"d3.c32","d3.c3",1.06867746414446,57.35,29,"red","Fall",".C10","5","null","H5.sim.null"
"f2.g32","f2.g3",1.0755293377564,56.28,28,"green","Fall",".C10","5","null","H5.sim.null"
"d3.f22","d3.f2",1.0818123208037,55.21,27,"red","Fall",".C10","5","null","H5.sim.null"
"d3.b12","d3.b1",1.09713818733612,54.13,26,"red","Fall",".C10","5","null","H5.sim.null"
"e1.f12","e1.f1",1.19018423296591,53.03,25,"green","Fall",".C10","5","null","H5.sim.null"
"d2.f32","d2.f3",1.19780555675839,51.84,24,"red","Fall",".C10","5","null","H5.sim.null"
"a1.a12","a1.a1",1.21707368961939,50.64,23,"black","Fall",".C10","5","null","H5.sim.null"
"d2.f22","d2.f2",1.22138983196937,49.42,22,"red","Fall",".C10","5","null","H5.sim.null"
"a1.d3","a1.d3",1.24444821542473,48.2,21,"black","Fall",".C10","5","null","H5.sim.null"
"e1.e12","e1.e1",1.25413088309642,46.96,20,"green","Fall",".C10","5","null","H5.sim.null"
"d2.g32","d2.g3",1.25728129296735,45.7,19,"red","Fall",".C10","5","null","H5.sim.null"
"d2.d22","d2.d2",1.34447621469549,44.45,18,"red","Fall",".C10","5","null","H5.sim.null"
"d2.g12","d2.g1",1.38713382266797,43.1,17,"red","Fall",".C10","5","null","H5.sim.null"
"f1.f12","f1.f1",1.6302467829747,41.71,16,"green","Fall",".C10","5","null","H5.sim.null"
"b1.c32","b1.c3",1.71068459588049,40.08,15,"pink","Fall",".C10","5","null","H5.sim.null"
